Date,Open_CLX,High_CLX,Low_CLX,Close_CLX,Volume_CLX,AdjClose_CLX
2016-04-22,120.650002,122.510002,119.230003,122.449997,1402800,122.449997
2016-04-25,122.010002,124.239998,121.739998,123.629997,1101400,123.629997
2016-04-26,123.639999,124.800003,123.639999,123.760002,1278000,123.760002
2016-04-27,124.040001,125.129997,123.309998,124.779999,1006800,124.779999
2016-04-28,124.220001,125.389999,124.18,124.769997,788600,124.769997
2016-04-29,124.360001,125.339996,124.059998,125.230003,1282100,125.230003
2016-05-02,125.25,127.010002,124.849998,126.959999,1636700,126.959999
2016-05-03,129.880005,132.5,128.639999,129.429993,2862000,129.429993
2016-05-04,129.009995,129.600006,127.830002,129.25,1660800,129.25
2016-05-05,129.529999,130.550003,128.350006,128.940002,1202400,128.940002
2016-05-06,129.119995,130.649994,128.649994,130.460007,976900,130.460007
2016-05-09,130.75,131.789993,130.5,131.679993,1018600,131.679993
2016-05-10,131.929993,132.860001,131.529999,132.839996,816900,132.839996
2016-05-11,132.839996,132.960007,131.169998,132.190002,1025700,132.190002
2016-05-12,132.789993,133.119995,132.190002,132.880005,872500,132.880005
2016-05-13,133.100006,133.240005,131.479996,131.979996,856600,131.979996
2016-05-16,131.979996,132.759995,131.139999,132.0,807300,132.0
2016-05-17,131.979996,132.910004,129.059998,129.429993,1427400,129.429993
2016-05-18,129.470001,129.710007,127.18,128.139999,1323600,128.139999
2016-05-19,127.93,130.380005,127.5,129.979996,1272700,129.979996
2016-05-20,130.119995,130.490005,128.460007,128.830002,1023800,128.830002
2016-05-23,128.990005,129.460007,128.5,129.050003,579000,129.050003
2016-05-24,129.220001,130.630005,128.860001,130.070007,776600,130.070007
2016-05-25,130.029999,130.550003,129.0,129.360001,655600,129.360001
2016-05-26,129.440002,130.190002,129.190002,129.539993,568200,129.539993
2016-05-27,129.860001,130.089996,129.289993,129.699997,481400,129.699997
2016-05-31,130.0,130.110001,127.900002,128.539993,1140200,128.539993
2016-06-01,128.639999,129.979996,128.389999,129.889999,942000,129.889999
2016-06-02,130.039993,130.039993,128.880005,129.830002,719900,129.830002
2016-06-03,129.830002,130.160004,128.940002,129.919998,765300,129.919998
