Date,Open_MPC,High_MPC,Low_MPC,Close_MPC,Volume_MPC,AdjClose_MPC
2016-03-09,35.860001,37.419998,35.580002,37.060001,7656700,36.725845
2016-03-10,36.830002,36.950001,35.700001,36.34,6048900,36.012336
2016-03-11,36.950001,37.919998,36.200001,37.720001,5110200,37.379894
2016-03-14,37.150002,37.68,36.330002,37.040001,4473800,36.706025
2016-03-15,36.380001,36.889999,35.919998,36.630001,4699900,36.299722
2016-03-16,36.669998,38.59,36.669998,38.389999,7734500,38.043851
2016-03-17,38.369999,38.59,37.23,37.52,7820000,37.181696
2016-03-18,37.880001,38.57,37.529999,38.23,9248900,37.885294
2016-03-21,38.060001,38.599998,37.84,38.419998,4143700,38.073579
2016-03-22,38.02,38.880001,37.990002,38.57,4780000,38.222228
2016-03-23,38.41,38.5,36.790001,37.240002,5294400,36.904222
2016-03-24,36.939999,37.349998,36.189999,36.869999,4945200,36.537556
2016-03-28,37.02,37.25,36.43,36.98,3849700,36.646564
2016-03-29,36.490002,36.689999,35.75,36.66,5832700,36.32945
2016-03-30,37.110001,37.169998,35.990002,36.580002,5087800,36.250173
2016-03-31,36.48,37.34,35.639999,37.18,5148700,36.844762
2016-04-01,36.279999,36.619999,35.91,36.389999,4312600,36.061884
2016-04-04,36.049999,37.23,36.0,36.650002,3225700,36.319542
2016-04-05,36.34,37.009998,35.740002,36.279999,4397400,35.952875
2016-04-06,36.669998,36.709999,35.060001,36.470001,6859700,36.141165
2016-04-07,36.25,37.560001,36.18,37.459999,8238500,37.122236
2016-04-08,37.830002,39.34,37.82,38.700001,6048100,38.351057
2016-04-11,38.98,39.130001,37.959999,37.990002,4808200,37.64746
2016-04-12,38.200001,39.25,37.689999,38.990002,7376900,38.638443
2016-04-13,39.209999,39.91,38.73,39.66,4598800,39.3024
2016-04-14,39.700001,40.18,38.970001,39.419998,4263200,39.064563
2016-04-15,39.34,39.59,37.779999,37.900002,7522700,37.558271
2016-04-18,37.900002,38.490002,37.110001,38.419998,3663800,38.073579
2016-04-19,38.830002,39.009998,37.5,38.330002,4934300,37.984394
2016-04-20,38.200001,39.5,37.740002,39.450001,4593700,39.094295
2016-04-21,39.43,40.880001,39.02,40.720001,8873000,40.352844
2016-04-22,40.84,41.919998,40.73,41.459999,6155200,41.086169
2016-04-25,41.299999,41.549999,40.57,41.18,3947800,40.808695
2016-04-26,41.400002,41.689999,40.84,41.459999,3854700,41.086169
2016-04-27,41.709999,42.25,40.799999,41.369999,6778700,40.996981
2016-04-28,40.490002,43.259998,40.169998,40.98,7923000,40.610498
2016-04-29,40.709999,40.990002,38.080002,39.080002,7856200,38.727632
2016-05-02,39.029999,39.23,37.630001,38.580002,7610800,38.23214
2016-05-03,37.889999,38.25,37.290001,37.990002,5565000,37.64746
2016-05-04,37.830002,38.0,35.939999,36.220001,5657000,35.893419
2016-05-05,36.720001,37.060001,35.880001,36.09,5097900,35.76459
2016-05-06,35.889999,36.970001,35.779999,35.880001,4980300,35.556484
2016-05-09,35.689999,35.779999,34.009998,34.950001,6539800,34.634869
