Date,Open_TAP,High_TAP,Low_TAP,Close_TAP,Volume_TAP,AdjClose_TAP
2016-04-06,94.07,94.300003,93.0,93.989998,1651400,93.612821
2016-04-07,92.910004,93.25,91.879997,92.300003,1400600,91.929608
2016-04-08,91.440002,93.239998,91.169998,93.120003,1827700,92.746318
2016-04-11,93.400002,93.900002,92.75,92.849998,972400,92.477397
2016-04-12,92.730003,93.370003,92.349998,92.870003,1324200,92.497321
2016-04-13,93.330002,93.440002,92.519997,92.919998,1001200,92.547116
2016-04-14,92.839996,96.410004,92.459999,95.730003,2900600,95.345844
2016-04-15,96.0,96.919998,95.25,96.879997,1807900,96.491223
2016-04-18,96.480003,96.93,96.0,96.68,941300,96.292029
2016-04-19,97.150002,98.269997,96.699997,97.75,1466200,97.357735
2016-04-20,97.43,97.650002,96.550003,96.779999,867800,96.391626
2016-04-21,96.339996,96.599998,95.120003,95.519997,1218400,95.13668
2016-04-22,95.099998,95.75,94.099998,95.629997,1012200,95.24624
2016-04-25,95.629997,96.5,94.93,96.440002,985600,96.052994
2016-04-26,96.839996,96.839996,95.769997,96.0,979900,95.614758
2016-04-27,96.120003,96.639999,95.0,95.809998,1176300,95.425518
2016-04-28,95.019997,95.970001,94.940002,95.669998,1170600,95.28608
2016-04-29,95.489998,96.599998,95.019997,95.629997,1375300,95.24624
2016-05-02,95.559998,97.139999,95.349998,96.769997,2070100,96.381664
2016-05-03,96.769997,99.449997,96.050003,98.309998,2772100,97.915485
2016-05-04,97.769997,98.879997,96.800003,98.169998,1595600,97.776048
2016-05-05,98.389999,98.709999,97.889999,98.470001,1024300,98.074847
2016-05-06,98.410004,98.529999,97.339996,98.300003,683100,97.905531
2016-05-09,98.379997,99.489998,98.269997,99.129997,993000,98.732194
2016-05-10,99.339996,100.279999,98.849998,99.940002,1029000,99.538949
2016-05-11,100.019997,100.449997,99.25,99.489998,688300,99.09075
2016-05-12,100.099998,100.099998,98.879997,99.730003,901600,99.329793
2016-05-13,99.669998,99.849998,98.400002,98.760002,936600,98.363684
2016-05-16,98.970001,100.230003,98.790001,99.809998,752200,99.409466
2016-05-17,99.660004,100.040001,97.849998,98.220001,1344300,97.82585
2016-05-18,97.919998,98.050003,96.419998,96.709999,1862200,96.321907
2016-05-19,96.709999,97.57,96.0,97.489998,859000,97.098776
2016-05-20,97.860001,97.860001,96.400002,96.720001,1258400,96.331869
2016-05-23,96.639999,97.459999,96.169998,97.220001,679900,96.829863
2016-05-24,97.790001,99.410004,97.459999,99.169998,1022500,98.772035
2016-05-25,99.190002,100.160004,97.910004,99.43,878300,99.030993
2016-05-26,99.32,100.110001,98.760002,99.360001,712300,98.961275
2016-05-27,99.419998,100.620003,99.040001,100.199997,1006700,99.7979
2016-05-31,100.309998,100.480003,98.769997,99.18,1529500,98.781997
2016-06-01,99.18,102.18,99.18,102.169998,2411200,101.759996
2016-06-02,101.82,101.970001,100.940002,101.940002,902400,101.940002
2016-06-03,101.419998,102.599998,101.419998,102.470001,829700,102.470001
