Date,Open_TJX,High_TJX,Low_TJX,Close_TJX,Volume_TJX,AdjClose_TJX
2016-02-18,71.599998,72.0,70.760002,71.610001,2943700,71.370626
2016-02-19,70.889999,71.699997,70.25,71.589996,2965400,71.350689
2016-02-22,72.389999,73.330002,72.019997,73.029999,3686900,72.785878
2016-02-23,73.029999,73.57,72.209999,72.690002,4606500,72.447018
2016-02-24,73.18,74.650002,71.739998,74.239998,9287500,73.991832
2016-02-25,73.949997,75.139999,73.230003,75.080002,5059300,74.829028
2016-02-26,75.010002,75.830002,74.339996,75.639999,6114300,75.387154
2016-02-29,75.489998,75.739998,74.059998,74.099998,4594000,73.852301
2016-03-01,74.360001,75.5,74.080002,75.470001,2872600,75.217724
2016-03-02,75.150002,75.75,74.660004,75.440002,2244700,75.187826
2016-03-03,75.080002,75.239998,74.0,75.220001,2860300,74.96856
2016-03-04,75.220001,75.739998,74.519997,75.400002,3195700,75.147958
2016-03-07,75.230003,76.190002,74.970001,75.370003,3614100,75.11806
2016-03-08,75.18,76.040001,75.050003,75.389999,2452400,75.13799
2016-03-09,75.720001,75.760002,74.68,74.949997,1881500,74.699458
2016-03-10,75.550003,75.760002,74.440002,75.5,2314800,75.247623
2016-03-11,75.739998,76.120003,74.910004,75.489998,2819700,75.237654
2016-03-14,75.599998,76.129997,75.440002,75.879997,2263400,75.62635
2016-03-15,75.400002,76.610001,75.260002,76.050003,2852500,75.795787
2016-03-16,75.669998,76.5,75.199997,76.32,2956200,76.064881
2016-03-17,76.120003,77.489998,76.120003,77.220001,2682800,76.961874
2016-03-18,77.25,77.93,77.25,77.919998,5344500,77.659531
2016-03-21,77.720001,78.459999,77.559998,77.849998,3085200,77.589766
2016-03-22,77.419998,78.139999,77.370003,77.809998,3080400,77.549898
2016-03-23,77.529999,78.019997,77.099998,77.720001,2741800,77.460203
2016-03-24,77.230003,77.709999,77.080002,77.120003,2678500,76.86221
2016-03-28,77.419998,78.220001,77.209999,77.760002,1648000,77.50007
2016-03-29,77.800003,78.669998,77.760002,78.620003,1800600,78.357196
2016-03-30,78.82,79.010002,78.239998,78.68,2574200,78.416993
2016-03-31,78.879997,79.199997,78.260002,78.349998,3743900,78.088094
2016-04-01,78.220001,78.989998,78.010002,78.779999,4708300,78.516657
2016-04-04,79.0,79.199997,78.32,78.559998,1909200,78.297391
2016-04-05,78.099998,78.489998,77.57,77.709999,2263500,77.450234
2016-04-06,77.629997,77.730003,76.68,77.589996,3300400,77.330633
2016-04-07,77.18,77.269997,75.830002,76.190002,3270000,75.935318
2016-04-08,76.279999,76.620003,75.690002,76.18,3107900,75.92535
2016-04-11,76.0,76.529999,75.370003,75.449997,2698500,75.197787
2016-04-12,75.519997,76.150002,75.0,76.040001,2668400,75.785818
2016-04-13,76.559998,76.769997,76.010002,76.629997,2610200,76.373843
2016-04-14,76.57,76.660004,75.860001,76.330002,2720600,76.07485
2016-04-15,76.419998,77.389999,76.330002,77.300003,2315900,77.041609
2016-04-18,77.150002,77.870003,77.150002,77.629997,2490400,77.3705
2016-04-19,78.099998,78.199997,77.339996,77.720001,1774600,77.460203
2016-04-20,77.980003,78.400002,77.529999,77.620003,2649300,77.360539
2016-04-21,77.519997,77.989998,76.889999,77.010002,1873700,76.752577
2016-04-22,77.010002,77.190002,76.459999,76.529999,2425400,76.274178
2016-04-25,76.43,76.800003,76.019997,76.5,2160400,76.24428
2016-04-26,76.599998,77.190002,76.190002,77.160004,1790600,76.902077
2016-04-27,77.160004,78.050003,76.860001,77.739998,2212100,77.480133
2016-04-28,77.290001,77.82,76.690002,76.889999,1691200,76.632976
2016-04-29,76.769997,76.769997,75.489998,75.82,2749700,75.566553
2016-05-02,76.190002,77.870003,76.059998,77.800003,2875800,77.539937
2016-05-03,77.190002,77.449997,76.25,77.029999,1994900,76.772507
2016-05-04,76.580002,77.25,76.349998,77.010002,1690200,76.752577
2016-05-05,76.849998,77.139999,76.029999,76.540001,2343500,76.284147
2016-05-06,76.260002,76.669998,75.660004,76.610001,2176900,76.353913
2016-05-09,76.949997,78.209999,76.459999,77.779999,2244300,77.52
2016-05-10,78.120003,78.260002,76.510002,76.629997,3619200,76.629997
2016-05-11,74.82,75.129997,74.0,74.029999,6157200,74.029999
2016-05-12,74.220001,74.830002,73.470001,74.279999,6589900,74.279999
2016-05-13,73.120003,74.800003,72.580002,72.68,7001300,72.68
2016-05-16,73.120003,75.209999,72.790001,75.190002,8147200,75.190002
