Date,Open_HAL,High_HAL,Low_HAL,Close_HAL,Volume_HAL,AdjClose_HAL
2015-12-16,36.84,37.060001,35.650002,35.860001,21318000,35.512719
2015-12-17,35.849998,35.970001,34.09,34.18,18732200,33.848988
2015-12-18,34.0,34.110001,33.290001,33.439999,17603600,33.116153
2015-12-21,33.610001,34.080002,33.139999,33.400002,11274500,33.076543
2015-12-22,33.439999,34.349998,33.34,34.02,10960000,33.690538
2015-12-23,34.810001,35.459999,34.720001,35.450001,11337200,35.106689
2015-12-24,35.43,35.540001,34.93,35.150002,3725100,34.809595
2015-12-28,34.529999,34.759998,34.07,34.299999,6844000,33.967825
2015-12-29,34.93,35.169998,34.200001,34.5,5406100,34.165889
2015-12-30,33.939999,34.630001,33.860001,34.130001,5682500,33.799473
2015-12-31,33.950001,34.470001,33.889999,34.040001,6194500,33.710344
2016-01-04,33.860001,34.599998,33.560001,34.48,10032900,34.146082
2016-01-05,34.610001,34.73,33.75,34.400002,8100900,34.066859
2016-01-06,33.490002,34.189999,33.060001,33.419998,12337000,33.096346
2016-01-07,32.790001,33.740002,32.66,32.91,11050900,32.591287
2016-01-08,33.029999,33.189999,32.279999,32.459999,11570100,32.145644
2016-01-11,32.419998,32.5,30.83,31.549999,13847600,31.244457
2016-01-12,31.950001,32.099998,30.610001,31.469999,10981400,31.165232
2016-01-13,31.92,32.09,30.389999,30.459999,16443800,30.165013
2016-01-14,30.67,32.049999,29.639999,31.84,13952600,31.531649
2016-01-15,30.51,31.290001,30.35,30.85,13231800,30.551237
2016-01-19,30.889999,30.99,29.370001,29.790001,15218700,29.501503
2016-01-20,29.040001,29.120001,27.639999,28.48,21777800,28.204188
2016-01-21,28.23,29.629999,28.129999,29.290001,15261900,29.006345
2016-01-22,30.469999,30.65,29.18,30.190001,18397300,29.897629
2016-01-25,30.129999,30.66,29.23,29.280001,18800700,28.996442
2016-01-26,29.540001,29.6,28.52,28.940001,17959900,28.659734
2016-01-27,28.940001,29.82,28.629999,29.059999,17157400,28.778571
2016-01-28,30.32,30.59,29.42,30.450001,17805300,30.155111
2016-01-29,30.57,31.809999,30.5,31.790001,15029000,31.482134
2016-02-01,31.290001,31.83,31.01,31.620001,10193600,31.313781
2016-02-02,30.73,31.02,30.34,30.52,8965900,30.224433
2016-02-03,30.75,32.060001,29.790001,31.959999,12680200,31.650486
2016-02-04,32.389999,33.490002,32.18,32.43,13726500,32.115936
2016-02-05,31.99,32.290001,30.940001,31.35,11397800,31.046395
2016-02-08,30.74,31.08,30.27,30.83,14704400,30.53143
2016-02-09,30.35,30.889999,28.92,29.59,13217500,29.303439
2016-02-10,29.48,30.16,29.25,29.59,7693700,29.303439
2016-02-11,28.700001,29.34,27.959999,28.799999,13121000,28.521089
2016-02-12,29.190001,29.65,28.719999,29.110001,11992200,28.828088
2016-02-16,29.65,30.01,29.27,29.940001,9101600,29.65005
2016-02-17,30.24,31.459999,30.07,31.4,10719400,31.09591
2016-02-18,31.74,31.85,30.940001,31.459999,11405400,31.155328
2016-02-19,31.280001,31.459999,30.84,31.370001,9163900,31.066202
2016-02-22,31.370001,32.959999,31.370001,32.880001,13221300,32.561579
2016-02-23,32.439999,32.59,32.02,32.09,11914400,31.779228
2016-02-24,31.35,32.48,31.35,32.459999,10773400,32.145644
2016-02-25,32.43,32.66,31.57,32.5,9301400,32.185258
2016-02-26,33.139999,33.310001,32.439999,32.810001,9637400,32.492257
2016-02-29,32.389999,32.790001,32.060001,32.279999,11111300,32.143733
2016-03-01,32.57,33.060001,32.349998,33.02,9628900,32.88061
2016-03-02,32.779999,33.689999,32.240002,33.66,13588300,33.517908
2016-03-03,33.509998,34.34,33.369999,34.169998,13453100,34.025754
2016-03-04,34.43,35.709999,34.02,34.880001,17727400,34.732759
2016-03-07,34.689999,36.09,34.630001,35.84,17414600,35.688706
2016-03-08,35.32,35.509998,34.34,34.48,12300700,34.334446
2016-03-09,35.07,35.200001,34.169998,34.689999,9015300,34.543559
2016-03-10,34.599998,34.830002,33.93,34.509998,9873600,34.364319
2016-03-11,35.110001,36.310001,34.98,36.119999,12667600,35.967523
2016-03-14,35.540001,35.860001,35.259998,35.5,10556500,35.350141
2016-03-15,35.029999,35.169998,34.490002,34.990002,9634900,34.842296
2016-03-16,35.380001,35.560001,34.48,35.470001,13004800,35.320269
2016-03-17,35.779999,36.740002,35.540001,36.380001,10206400,36.226427
2016-03-18,36.68,36.740002,35.810001,36.299999,12220800,36.146763
2016-03-21,35.970001,36.529999,35.720001,36.380001,7007400,36.226427
2016-03-22,36.009998,36.439999,35.810001,35.970001,7025100,35.818158
2016-03-23,35.380001,35.779999,34.82,35.029999,7941400,34.882124
2016-03-24,34.310001,35.310001,34.279999,35.220001,6331100,35.071324
2016-03-28,35.32,35.400002,34.709999,35.09,5013200,34.941872
2016-03-29,34.490002,35.189999,33.950001,35.02,8153300,34.872168
2016-03-30,35.549999,36.450001,35.5,36.02,11330600,35.867946
2016-03-31,35.84,36.380001,35.540001,35.720001,7426200,35.569214
2016-04-01,35.07,35.259998,34.68,35.09,9201400,34.941872
2016-04-04,34.849998,35.299999,33.830002,34.0,14100000,33.856473
2016-04-05,33.650002,34.720001,33.259998,34.400002,17338900,34.254786
2016-04-06,34.709999,36.889999,34.450001,36.439999,21612400,36.286172
2016-04-07,35.970001,36.75,35.93,36.25,9283200,36.096975
2016-04-08,37.220001,38.189999,37.110001,37.330002,11885000,37.172418
2016-04-11,37.5,38.080002,37.200001,37.220001,8297400,37.062881
2016-04-12,37.32,37.990002,36.73,37.66,12394100,37.501023
2016-04-13,37.869999,38.490002,37.599998,38.310001,11374800,38.14828
2016-04-14,38.389999,38.869999,38.029999,38.380001,9829700,38.217985
2016-04-15,38.130001,38.439999,37.619999,38.27,7244900,38.108448
2016-04-18,37.25,39.310001,37.25,38.990002,8725300,38.82541
2016-04-19,39.09,40.279999,38.849998,40.040001,11216800,39.870977
2016-04-20,39.59,40.91,39.529999,40.34,9703500,40.16971
2016-04-21,40.279999,41.57,40.220001,40.330002,16368700,40.159754
2016-04-22,40.139999,41.369999,39.98,40.84,11220700,40.667599
2016-04-25,40.549999,41.34,39.330002,40.040001,13423800,39.870977
2016-04-26,40.209999,40.360001,39.5,40.220001,9782100,40.050217
2016-04-27,40.23,41.580002,40.23,41.040001,11826400,40.866755
2016-04-28,41.130001,41.650002,40.41,41.040001,9288900,40.866755
2016-04-29,41.099998,41.93,40.41,41.310001,10388800,41.135616
2016-05-02,41.529999,42.82,41.419998,42.049999,23540500,41.87249
2016-05-03,40.66,41.759998,39.779999,40.439999,19669200,40.269286
2016-05-04,40.130001,40.689999,39.240002,39.860001,12638300,39.691736
2016-05-05,40.439999,40.77,39.580002,39.939999,12816300,39.771397
2016-05-06,39.470001,40.169998,39.16,39.439999,13827100,39.273507
2016-05-09,39.310001,39.310001,38.240002,38.689999,8974100,38.526673
2016-05-10,39.009998,39.259998,38.599998,38.84,8276700,38.676042
2016-05-11,38.830002,40.130001,38.799999,39.540001,10957000,39.373088
2016-05-12,40.0,40.330002,39.720001,40.049999,10437400,39.880933
2016-05-13,39.75,40.189999,38.970001,39.060001,8290400,38.895114
2016-05-16,39.529999,40.470001,39.450001,40.18,10721500,40.010385
2016-05-17,40.5,41.630001,40.299999,41.169998,10785500,40.996204
2016-05-18,41.029999,41.150002,39.869999,40.279999,8378700,40.109962
2016-05-19,40.0,40.43,39.32,40.139999,7570700,39.970553
2016-05-20,40.549999,41.330002,40.34,40.91,8365900,40.737303
2016-05-23,40.43,41.669998,40.41,41.459999,11689300,41.284981
2016-05-24,41.540001,41.73,41.060001,41.419998,8235600,41.245149
2016-05-25,41.700001,42.75,41.66,42.450001,7651800,42.270803
2016-05-26,42.799999,43.200001,42.5,42.639999,8919100,42.46
2016-05-27,42.299999,42.639999,42.07,42.580002,6421400,42.580002
2016-05-31,42.389999,43.080002,41.880001,42.18,9865000,42.18
2016-06-01,41.799999,42.529999,41.459999,42.150002,8131000,42.150002
2016-06-02,41.919998,42.130001,41.5,42.130001,6651700,42.130001
2016-06-03,42.150002,42.970001,41.779999,42.849998,8976000,42.849998
