Date,Open_PAYX,High_PAYX,Low_PAYX,Close_PAYX,Volume_PAYX,AdjClose_PAYX
2016-05-03,52.279999,52.650002,52.110001,52.400002,1503500,51.979117
2016-05-04,52.060001,52.360001,51.91,52.290001,1369600,51.87
2016-05-05,51.959999,52.080002,51.130001,51.189999,2502200,51.189999
2016-05-06,51.060001,51.91,51.060001,51.91,1972900,51.91
2016-05-09,51.98,52.209999,51.77,51.990002,1316700,51.990002
2016-05-10,52.200001,52.93,52.02,52.889999,1638300,52.889999
2016-05-11,52.84,52.84,52.099998,52.209999,1621600,52.209999
2016-05-12,52.369999,52.52,51.91,52.110001,1891300,52.110001
2016-05-13,52.110001,52.369999,51.68,51.709999,1264900,51.709999
2016-05-16,51.709999,52.389999,51.509998,52.060001,1590000,52.060001
2016-05-17,51.98,52.130001,51.290001,51.470001,1441700,51.470001
2016-05-18,51.41,52.009998,51.25,51.73,1402800,51.73
2016-05-19,51.419998,51.799999,51.09,51.709999,1216800,51.709999
2016-05-20,51.880001,52.330002,51.849998,52.029999,1573600,52.029999
2016-05-23,52.09,52.18,51.709999,51.73,1196000,51.73
2016-05-24,52.040001,53.130001,51.950001,53.080002,1885600,53.080002
2016-05-25,53.23,53.709999,53.200001,53.669998,1959200,53.669998
2016-05-26,53.560001,54.049999,53.490002,53.970001,2106900,53.970001
2016-05-27,54.07,54.330002,53.849998,54.330002,1711900,54.330002
2016-05-31,54.52,54.580002,53.68,54.220001,2424600,54.220001
2016-06-01,54.110001,54.490002,53.970001,54.459999,1584900,54.459999
2016-06-02,54.419998,54.950001,54.18,54.939999,2254300,54.939999
2016-06-03,54.650002,54.82,54.200001,54.709999,1869500,54.709999
