Date,Open_STX,High_STX,Low_STX,Close_STX,Volume_STX,AdjClose_STX
2016-05-16,19.08,19.360001,18.98,19.16,7247700,19.16
2016-05-17,19.030001,20.26,19.030001,19.639999,7164500,19.639999
2016-05-18,19.58,20.540001,19.57,20.24,7860000,20.24
2016-05-19,20.15,20.559999,20.01,20.52,8912300,20.52
2016-05-20,20.540001,20.92,20.290001,20.41,7197800,20.41
2016-05-23,20.65,21.08,20.41,20.799999,4299300,20.799999
2016-05-24,21.07,21.1,20.68,20.879999,4850100,20.879999
2016-05-25,21.219999,21.76,21.200001,21.48,6800000,21.48
2016-05-26,21.43,21.66,21.16,21.549999,5240200,21.549999
2016-05-27,21.52,21.950001,21.219999,21.66,4164500,21.66
2016-05-31,21.790001,22.6,21.6,22.559999,8201700,22.559999
2016-06-01,22.290001,23.059999,22.040001,23.01,6717700,23.01
2016-06-02,23.25,23.809999,23.110001,23.75,8286100,23.75
2016-06-03,23.68,23.9,23.32,23.639999,7701000,23.639999
